"CODIGO__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NIVEL_RIESGO__C","NOMBRE_LARGO__C","OWNERID","SYSTEMMODSTAMP"
"FAB733","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000knzAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de maquinaria para la elaboracion de alimentos  bebidas y tabaco inc","4.0","Fabricacion de maquinaria para la elaboracion de alimentos  bebidas y tabaco incluye  la  fabricacion  de  maquinaria  utilizada  principalmente  en  la  industria lechera: descremadoras  homogeneizadoras  maquinaria para transformacion de la  leche  (mantequeras   malaxadoras  y  moldeadoras),  maquinaria  para  hacer quesos (maquinas de homogeneizar  moldear y prensar), maquinaria utilizada principalmente en la industria de la molienda de granos: maquinas para limpiar  seleccionar  o  clasificar  semillas   granos  o  leguminosas  secas  (aventadoras  bandas o cintas  cribadoras  separadores ciclonicos  separadores aspiradores  cepilladoras  y  maquinas  similares),  maquinas  para  la  trilla,  maquinaria  para producir harinas  semolas u otros productos molidos (trituradoras  agramadoras  alimentadoras      cribadoras      depuradoras     de     afrecho      mezcladoras  descascarilladoras de arroz  partidoras de guisantes  etc), prensas  trituradoras y maquinas similares utilizadas en la elaboracion de vino  sidra  jugos de frutas o bebidas similares  maquinaria y equipo especial para uso en panaderia y para preparar   macarrones    espaguetis   y   productos   similares:   mezcladoras  fraccionadoras y moldeadoras de masa  cortadoras  maquinas para depositar tortas  incluidos los hornos de panaderia  entre otros","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB744","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko0AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de materiales de arcilla para la construccion   incluye la fabricaci","4.0","Fabricacion de materiales de arcilla para la construccion   incluye la fabricacion industrial  o  artesanal  de  materiales  de  ceramica  no  refractaria  para  la construccion  tales como: ladrillos  bloques para pisos  tejas  tubos de chimeneas etc, baldosas y losas para pavimentos  losetas  azulejos para la pared o para canones de chimeneas  cubos de mosaico y productos de ceramica esmaltados o no, artefactos sanitarios de ceramica por ejemplo: lavabos  baneras  bides  inodoros  y  demas  articulos  de  ceramica  para  uso  en  construccion,   tubos  conductos  canalones y accesorios para tuberias de ceramica, bloques para pisos de arcilla cocida","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB745","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko1AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de medios magneticos y opticos para el almacenamiento de datos  incl","2.0","Fabricacion de medios magneticos y opticos para el almacenamiento de datos  incluye la fabricacion de medios magneticos y opticos para el almacenamiento de datos  tales  como  cintas  magneticas   de  audio  y  video  en  blanco  (casetes)  disquetes en blanco  discos opticos en blanco  discos duros  tarjetas con banda magnetica incorporada  entre otros soportes","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB746","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko2AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de motocicletas  incluye la fabricacion de motocicletas  velocipedos","3.0","Fabricacion de motocicletas  incluye la fabricacion de motocicletas  velocipedos con motor auxiliar","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB747","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko3AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de motocicletas  incluye la fabricacion de motores para motocicletas","4.0","Fabricacion de motocicletas  incluye la fabricacion de motores para motocicletas y la reconstruccion de los mismos  La fabricacion de sidecares  partes  piezas y accesorios de motocicletas","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB748","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko4AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de motores   generadores y transformadores electricos  incluye la fa","3.0","Fabricacion de motores   generadores y transformadores electricos  incluye la fabricacion de transformadores de energia electrica de distribucion (convencional de  poste)  y  especializados  (subestacion),  reactancias  (balastos),  motores electricos  bobinas de induccion, fabricacion de generadores de energia  de fuerza y de  alta tension","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB758","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000ko5AAA","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de otras bombas  compresores  grifos y valvulas incluye la fabricaci","4.0","Fabricacion de otras bombas  compresores  grifos y valvulas incluye la fabricacion de bombas de aire y vacio  compresores de aire u otros gases  La fabricacion de bombas para liquidos  diferentes de las bombas hidraulicas  que tengan o no dispositivos de medicion  incluso bombas de mano y bombas para motores de combustion  interna  de  embolo  (bombas  de  aceite   agua  y  combustible  para vehiculos  automotores)   bombas  para  impeler  hormigon  y  otras  bombas   La fabricacion de grifos  llaves de paso  valvulas y accesorios similares metalicos o de plastico para tubos  calderas  tanques  cubas y artefactos similares  incluso valvulas  reductoras  de  presion  y  valvulas  reguladas  termostaticamente    La fabricacion de bombas manuales,  La fabricacion de grifos y valvulas sanitarios  la fabricacion de grifos y valvulas de calefaccion","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"ACT052","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khlAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  de  telecomunicaciones  alambricas   incluye  los  servicios  telef","3.0","Actividades  de  telecomunicaciones  alambricas   incluye  los  servicios  telefonia local y de larga distancia  suministro de servicios de telegrafos Se incluye la compra  de  derechos  de  acceso  de  la  capacidad  de  la  red  a  propietarios  y operadores de redes y utilizacion de esa capacidad para suministrar servicios de telecomunicaciones a empresas y hogares","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT044","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khiAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  de  paisajismo  y  servicios  de  mantenimiento  conexo   incluye v","4.0","Actividades  de  paisajismo  y  servicios  de  mantenimiento  conexo   incluye vegetacion para: edificios (terrazas  fachadas  interiores y exteriores)  Edificios publicos y semipublicos (escuelas  hospitales  edificios administrativos  iglesias  entre otros)  Parques y jardines para: ajardinamiento de vias publicas (carreteras  lineas de ferrocarril y de tranvias  canales  puertos)  agua embalsada y corriente (fuentes  estanques  piscinas  acequias  corrientes de agua  sistemas para aguas residuales)  plantas de proteccion contra el ruido  el viento  la erosion  la visibilidad y los reflejos del sol","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
"ACT047","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","COP","a8d220000000khjAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:02.000Z","","","Actividades  de  parques  de  atracciones  y  parques  tematicos   incluye  las","3.0","Actividades  de  parques  de  atracciones  y  parques  tematicos   incluye  las actividades  de  parques  de  atracciones  o  parques  tematicos:  incluido  el funcionamiento  de  una  variedad  de  atracciones   tales  como:  atracciones mecanicas y acuaticas  juegos  espectaculos  exposiciones tematicas y sitios para picnic","00522000004MjvzAAC","2022-12-12T01:05:02.000Z"
